Description,Bioregion,Exclude,AsiaNative,Also_nontrop
oritenal region: indonesia sumatra,Sumatra,0,1,0
philippines mindanao sumatra,Sumatra,0,1,0
"philippines,sumatra",Sumatra,0,1,0
s sumatra,Sumatra,0,1,0
sebesi island,Sumatra,0,1,0
sebesi islands,Sumatra,0,1,0
siberut,Sumatra,0,1,0
siberut island,Sumatra,0,1,0
simalur,Sumatra,0,1,0
simeulue,Sumatra,0,1,0
simeulue is,Sumatra,0,1,0
simeulue isl,Sumatra,0,1,0
simeulue island,Sumatra,0,1,0
simeulue island island,Sumatra,0,1,0
simuelue,Sumatra,0,1,0
simueulue island,Sumatra,0,1,0
sipora islands,Sumatra,0,1,0
sri lanka sumatra,Sumatra,0,1,0
suban,Sumatra,0,1,0
sumatera utara,Sumatra,0,1,0
sumatra,Sumatra,0,1,0
sumatra neotype loc,Sumatra,0,1,0
sumatra thailand,Sumatra,0,1,0
sumatra: mariana islands,Sumatra,0,1,0
sumatria,Sumatra,0,1,0
sumtra,Sumatra,0,1,0
sumutra,Sumatra,0,1,0
tandi andalas,Sumatra,0,1,0
afrotropical and oritenal regions,Unknown,0,0,1
afrotropical madagascar and northern oriental regions,Unknown,0,0,1
'asia',Unknown,0,1,1
almost cosmopolitan in warm mediterranean to tropical areas,Unknown,0,1,1
almost worldwide,Unknown,0,1,1
circum-,Unknown,0,1,1
circumtropical,Unknown,0,1,1
condul,Unknown,0,1,0
cosmopolitan,Unknown,0,1,1
cosmopolite,Unknown,0,1,1
cosmopolitian,Unknown,0,1,1
cosmotropical,Unknown,0,1,1
des indes,Unknown,0,1,0
